SuperHero,SuperPower,IssueResolution
Bill Harken,Super Speed,Medical (COVID-19)
Bill Harken,Toxin and Disease Resistance,Medical (COVID-19)
Billy Kincaid,Possession,Miscellaneous
Binary,Durability,Medical (COVID-19)
Binary,Energy Absorption,Climate Change
Binary,Flight,Infrastructure Improvements
Binary,Super Strength,Infrastructure Improvements
Binary,Energy Blasts,Infrastructure Improvements
Binary,Super Speed,Medical (COVID-19)
Bionic Woman,Agility,Large Scale Conflict
Bionic Woman,Durability,Medical (COVID-19)
Bionic Woman,Super Strength,Infrastructure Improvements
Bionic Woman,Stamina,Medical (COVID-19)
Bionic Woman,Super Speed,Medical (COVID-19)
Bionic Woman,Jump,Miscellaneous
Bionic Woman,Enhanced Hearing,Large Scale Conflict
Bird-Brain,Flight,Infrastructure Improvements
Bird-Brain,Animal Attributes,Miscellaneous
Bird-Brain,Natural Weapons,Large Scale Conflict
Bird-Man,Flight,Infrastructure Improvements
Bird-Man,Super Strength,Infrastructure Improvements
Bird-Man,Animal Oriented Powers,Miscellaneous
Bird-Man,Natural Weapons,Large Scale Conflict
Bird-Man II,Flight,Infrastructure Improvements
Bird-Man II,Power Suit,Large Scale Conflict
Birdman,Agility,Large Scale Conflict
Birdman,Energy Absorption,Climate Change
Birdman,Flight,Infrastructure Improvements
Birdman,Longevity,Medical (COVID-19)
Birdman,Intelligence,Education Improvements
Birdman,Super Strength,Infrastructure Improvements
Birdman,Energy Blasts,Infrastructure Improvements
Birdman,Stamina,Medical (COVID-19)
Birdman,Immortality,Medical (COVID-19)
Birdman,Force Fields,Large Scale Conflict
Bishop,Accelerated Healing,Medical (COVID-19)
Bishop,Energy Absorption,Climate Change
Bishop,Super Strength,Infrastructure Improvements
Bishop,Energy Blasts,Infrastructure Improvements
Bishop,Stamina,Medical (COVID-19)
Bishop,Invulnerability,Medical (COVID-19)
Bishop,Time Travel,Medical (COVID-19)
Bishop,Energy Resistance,Large Scale Conflict
Bizarro,Agility,Large Scale Conflict
Bizarro,Accelerated Healing,Medical (COVID-19)
Bizarro,Durability,Medical (COVID-19)
Bizarro,Energy Absorption,Climate Change
Bizarro,Flight,Infrastructure Improvements
Bizarro,Marksmanship,Large Scale Conflict
Bizarro,Longevity,Medical (COVID-19)
Bizarro,Super Strength,Infrastructure Improvements
Bizarro,Cryokinesis,Climate Change
Bizarro,Stamina,Medical (COVID-19)
Bizarro,Super Speed,Medical (COVID-19)
Bizarro,Enhanced Senses,Medical (COVID-19)
Bizarro,Jump,Miscellaneous
Bizarro,Invulnerability,Medical (COVID-19)
Bizarro,Self-Sustenance,Medical (COVID-19)
Bizarro,Enhanced Hearing,Large Scale Conflict
Bizarro,Hypnokinesis,Drug Addiction
Bizarro,Enhanced Sight,Miscellaneous
Bizarro,Vision - Telescopic,Large Scale Conflict
Bizarro,Vision - Microscopic,Medical (COVID-19)
Bizarro,Super Breath,Medical (COVID-19)
Bizarro,Vision - X-Ray,Medical (COVID-19)
Bizarro,Vision - Cryo,Miscellaneous
Bizarro-Girl,Agility,Large Scale Conflict
Bizarro-Girl,Accelerated Healing,Medical (COVID-19)
Bizarro-Girl,Durability,Medical (COVID-19)
Bizarro-Girl,Energy Absorption,Climate Change
Bizarro-Girl,Flight,Infrastructure Improvements
Bizarro-Girl,Super Strength,Infrastructure Improvements
Bizarro-Girl,Stamina,Medical (COVID-19)
Bizarro-Girl,Super Speed,Medical (COVID-19)
Bizarro-Girl,Enhanced Senses,Medical (COVID-19)
Bizarro-Girl,Jump,Miscellaneous
Bizarro-Girl,Enhanced Memory,Education Improvements
Bizarro-Girl,Reflexes,Miscellaneous
Bizarro-Girl,Invulnerability,Medical (COVID-19)
Bizarro-Girl,Enhanced Hearing,Large Scale Conflict
Bizarro-Girl,Enhanced Sight,Miscellaneous
Bizarro-Girl,Vision - Telescopic,Large Scale Conflict
Bizarro-Girl,Toxin and Disease Resistance,Medical (COVID-19)
Bizarro-Girl,Vision - Microscopic,Medical (COVID-19)
Bizarro-Girl,Super Breath,Medical (COVID-19)
Bizarro-Girl,Vision - Cryo,Miscellaneous
Black Abbott,Telepathy,Education Improvements
Black Abbott,Energy Blasts,Infrastructure Improvements
Black Abbott,Telekinesis,Infrastructure Improvements
Black Abbott,Mind Control,Education Improvements
Black Abbott,Mind Blast,Education Improvements
Black Adam,Accelerated Healing,Medical (COVID-19)
Black Adam,Flight,Infrastructure Improvements
Black Adam,Longevity,Medical (COVID-19)
Black Adam,Intelligence,Education Improvements
Black Adam,Super Strength,Infrastructure Improvements
Black Adam,Energy Blasts,Infrastructure Improvements
Black Adam,Stamina,Medical (COVID-19)
Black Adam,Super Speed,Medical (COVID-19)
Black Adam,Telekinesis,Infrastructure Improvements
Black Adam,Magic,Miscellaneous
Black Adam,Clairvoyance,Drug Addiction
Black Adam,Invulnerability,Medical (COVID-19)
Black Adam,Self-Sustenance,Medical (COVID-19)
Black Adam,Enhanced Hearing,Large Scale Conflict
Black Bolt,Agility,Large Scale Conflict
Black Bolt,Durability,Medical (COVID-19)
Black Bolt,Energy Absorption,Climate Change
Black Bolt,Flight,Infrastructure Improvements
Black Bolt,Longevity,Medical (COVID-19)
Black Bolt,Super Strength,Infrastructure Improvements
Black Bolt,Telepathy,Education Improvements
Black Bolt,Energy Blasts,Infrastructure Improvements
Black Bolt,Stamina,Medical (COVID-19)
Black Bolt,Super Speed,Medical (COVID-19)
Black Bolt,Reflexes,Miscellaneous
Black Bolt,Molecular Manipulation,Medical (COVID-19)
Black Bolt,Sonic Scream,Large Scale Conflict
Black Canary,Agility,Large Scale Conflict
Black Canary,Stealth,Miscellaneous
Black Canary,Marksmanship,Large Scale Conflict
Black Canary,Weapons Master,Large Scale Conflict
Black Canary,Intelligence,Education Improvements
Black Canary,Stamina,Medical (COVID-19)
Black Canary,Audio Control,Miscellaneous
Black Canary,Reflexes,Miscellaneous
Black Canary,Sonic Scream,Large Scale Conflict
Black Cat,Agility,Large Scale Conflict
Black Cat,Super Strength,Infrastructure Improvements
Black Cat,Stamina,Medical (COVID-19)
Black Cat,Super Speed,Medical (COVID-19)
Black Cat,Reflexes,Miscellaneous
Black Cat,Probability Manipulation,Medical (COVID-19)
Black Cat,Vision - Infrared,Miscellaneous
Black Flash,Agility,Large Scale Conflict
Black Flash,Stealth,Miscellaneous
Black Flash,Flight,Infrastructure Improvements
Black Flash,Super Strength,Infrastructure Improvements
Black Flash,Stamina,Medical (COVID-19)
Black Flash,Super Speed,Medical (COVID-19)
Black Flash,Death Touch,Miscellaneous
Black Flash,Enhanced Senses,Medical (COVID-19)
Black Flash,Dimensional Travel,Miscellaneous
Black Flash,Immortality,Medical (COVID-19)
Black Flash,Intangibility,Infrastructure Improvements
Black Flash,Natural Weapons,Large Scale Conflict
Black Flash,Time Manipulation,Medical (COVID-19)
Black Knight III,Weapon-based Powers,Large Scale Conflict
Black Lightning,Energy Absorption,Climate Change
Black Lightning,Flight,Infrastructure Improvements
Black Lightning,Energy Blasts,Infrastructure Improvements
Black Lightning,Electrokinesis,Infrastructure Improvements
Black Lightning,Peak Human Condition,Medical (COVID-19)
Black Lightning,Force Fields,Large Scale Conflict
Black Lightning,Energy Manipulation,Infrastructure Improvements
Black Mamba,Darkforce Manipulation,Miscellaneous
Black Mamba,Hypnokinesis,Drug Addiction
Black Mamba,Illusions,Drug Addiction
Black Manta,Agility,Large Scale Conflict
Black Manta,Cold Resistance,Miscellaneous
Black Manta,Durability,Medical (COVID-19)
Black Manta,Stealth,Miscellaneous
Black Manta,Underwater breathing,Medical (COVID-19)
Black Manta,Marksmanship,Large Scale Conflict
Black Manta,Weapons Master,Large Scale Conflict
Black Manta,Super Strength,Infrastructure Improvements
Black Manta,Energy Blasts,Infrastructure Improvements
Black Manta,Stamina,Medical (COVID-19)
Black Manta,Super Speed,Medical (COVID-19)
Black Manta,Jump,Miscellaneous
Black Manta,Peak Human Condition,Medical (COVID-19)
Black Manta,Camouflage,Large Scale Conflict
Black Manta,Power Suit,Large Scale Conflict
Black Manta,Vision - Telescopic,Large Scale Conflict
Black Manta,Sub-Mariner,Climate Change
Black Manta,Vision - Infrared,Miscellaneous
Black Panther,Agility,Large Scale Conflict
Black Panther,Stealth,Miscellaneous
Black Panther,Marksmanship,Large Scale Conflict
Black Panther,Weapons Master,Large Scale Conflict
Black Panther,Stamina,Medical (COVID-19)
Black Panther,Enhanced Senses,Medical (COVID-19)
Black Panther,Peak Human Condition,Medical (COVID-19)
Black Panther,Enhanced Memory,Education Improvements
Black Panther,Reflexes,Miscellaneous
Black Panther,Enhanced Hearing,Large Scale Conflict
Black Panther,Enhanced Smell,Miscellaneous
Black Panther,Vision - Telescopic,Large Scale Conflict
Black Panther,Vision - Night,Large Scale Conflict
Black Vulcan,Flight,Infrastructure Improvements
Black Vulcan,Super Speed,Medical (COVID-19)
Black Vulcan,Electrokinesis,Infrastructure Improvements
Black Vulcan,Time Travel,Medical (COVID-19)
Black Widow,Agility,Large Scale Conflict
Black Widow,Stealth,Miscellaneous
Black Widow,Marksmanship,Large Scale Conflict
Black Widow,Weapons Master,Large Scale Conflict
Black Widow,Longevity,Medical (COVID-19)
Black Widow,Intelligence,Education Improvements
Black Widow,Stamina,Medical (COVID-19)
Black Widow,Peak Human Condition,Medical (COVID-19)
Black Widow,Reflexes,Miscellaneous
Blackout,Agility,Large Scale Conflict
Blackout,Accelerated Healing,Medical (COVID-19)
Blackout,Durability,Medical (COVID-19)
Blackout,Super Strength,Infrastructure Improvements
Blackout,Stamina,Medical (COVID-19)
Blackout,Super Speed,Medical (COVID-19)
Blackout,Camouflage,Large Scale Conflict
Blackout,Reflexes,Miscellaneous
Blackout,Vision - Telescopic,Large Scale Conflict
Blackout,Vision - Night,Large Scale Conflict
Blackwing,Flight,Infrastructure Improvements
Blackwing,Telepathy,Education Improvements
Blackwulf,Durability,Medical (COVID-19)
Blackwulf,Super Strength,Infrastructure Improvements
Blackwulf,Energy Blasts,Infrastructure Improvements
Blackwulf,Death Touch,Miscellaneous
Blade,Agility,Large Scale Conflict
Blade,Accelerated Healing,Medical (COVID-19)
Blade,Weapons Master,Large Scale Conflict
Blade,Super Strength,Infrastructure Improvements
Blade,Stamina,Medical (COVID-19)
Blade,Super Speed,Medical (COVID-19)
Blade,Enhanced Senses,Medical (COVID-19)
Blade,Enhanced Hearing,Large Scale Conflict
Blade,Enhanced Smell,Miscellaneous
Blade,Vision - Telescopic,Large Scale Conflict
Blade,Vision - Night,Large Scale Conflict
Bling!,Durability,Medical (COVID-19)
Bling!,Natural Armor,Large Scale Conflict
Bling!,Natural Weapons,Large Scale Conflict
Blink,Teleportation,Medical (COVID-19)
Blizzard,Cryokinesis,Climate Change
Blizzard,Weapon-based Powers,Large Scale Conflict
Blizzard II,Cryokinesis,Climate Change
Blob,Durability,Medical (COVID-19)
Blob,Super Strength,Infrastructure Improvements
Blob,Gravity Control,Large Scale Conflict
Bloodaxe,Agility,Large Scale Conflict
Bloodaxe,Durability,Medical (COVID-19)
Bloodaxe,Super Strength,Infrastructure Improvements
Bloodaxe,Cryokinesis,Climate Change
Bloodaxe,Energy Blasts,Infrastructure Improvements
Bloodaxe,Stamina,Medical (COVID-19)
Bloodaxe,Super Speed,Medical (COVID-19)
Bloodaxe,Weapon-based Powers,Large Scale Conflict
Bloodaxe,Teleportation,Medical (COVID-19)
Bloodaxe,Fire Control,Climate Change
Bloodaxe,Reflexes,Miscellaneous
Bloodaxe,Invulnerability,Medical (COVID-19)
Bloodaxe,Magnetism,Infrastructure Improvements
Bloodhawk,Flight,Infrastructure Improvements
Bloodhawk,Enhanced Senses,Medical (COVID-19)
Bloodhawk,Shapeshifting,Miscellaneous
Bloodhawk,Regeneration,Medical (COVID-19)
Bloodhawk,Natural Weapons,Large Scale Conflict
Bloodhawk,Radiation Immunity,Miscellaneous
Bloodhawk,Toxin and Disease Resistance,Medical (COVID-19)
Bloodwraith,Energy Absorption,Climate Change
Bloodwraith,Weapons Master,Large Scale Conflict
Bloodwraith,Super Strength,Infrastructure Improvements
Bloodwraith,Energy Blasts,Infrastructure Improvements
Bloodwraith,Weapon-based Powers,Large Scale Conflict
Bloodwraith,Teleportation,Medical (COVID-19)
Bloodwraith,Telekinesis,Infrastructure Improvements
Bloodwraith,Magic,Miscellaneous
Bloodwraith,Invulnerability,Medical (COVID-19)
Blue Beetle,Flight,Infrastructure Improvements
Blue Beetle,Super Strength,Infrastructure Improvements
Blue Beetle,Energy Blasts,Infrastructure Improvements
Blue Beetle II,Intelligence,Education Improvements
Blue Beetle III,Agility,Large Scale Conflict
Blue Beetle III,Accelerated Healing,Medical (COVID-19)
Blue Beetle III,Cold Resistance,Miscellaneous
Blue Beetle III,Flight,Infrastructure Improvements
Blue Beetle III,Super Strength,Infrastructure Improvements
Blue Beetle III,Energy Blasts,Infrastructure Improvements
Blue Beetle III,Force Fields,Large Scale Conflict
Blue Beetle III,Technopath/Cyberpath,Infrastructure Improvements
Blue Beetle III,Power Suit,Large Scale Conflict
Blue Beetle III,Energy Manipulation,Infrastructure Improvements
Blue Beetle III,Heat Resistance,Infrastructure Improvements
Blue Beetle III,Symbiote Costume,Miscellaneous
Blue Streak,Accelerated Healing,Medical (COVID-19)
Blue Streak,Super Speed,Medical (COVID-19)
Blue Streak,Power Suit,Large Scale Conflict
Boba Fett,Agility,Large Scale Conflict
Boba Fett,Stealth,Miscellaneous
Boba Fett,Flight,Infrastructure Improvements
Boba Fett,Marksmanship,Large Scale Conflict
Boba Fett,Weapons Master,Large Scale Conflict
Boba Fett,Intelligence,Education Improvements
Boba Fett,Stamina,Medical (COVID-19)
Boba Fett,Enhanced Hearing,Large Scale Conflict
Boba Fett,Enhanced Sight,Miscellaneous
Boba Fett,Power Suit,Large Scale Conflict
Boba Fett,Radar Sense,Large Scale Conflict
Bomb Queen,Accelerated Healing,Medical (COVID-19)
Bomb Queen,Energy Blasts,Infrastructure Improvements
Boom-Boom,Agility,Large Scale Conflict
Boom-Boom,Energy Absorption,Climate Change
Boom-Boom,Energy Blasts,Infrastructure Improvements
Boom-Boom,Energy Beams,Large Scale Conflict
Boom-Boom,Psionic Powers,Drug Addiction
Boom-Boom,Energy Manipulation,Infrastructure Improvements
Booster Gold,Agility,Large Scale Conflict
Booster Gold,Durability,Medical (COVID-19)
Booster Gold,Flight,Infrastructure Improvements
Booster Gold,Weapons Master,Large Scale Conflict
Booster Gold,Longevity,Medical (COVID-19)
Booster Gold,Intelligence,Education Improvements
Booster Gold,Super Strength,Infrastructure Improvements
Booster Gold,Energy Blasts,Infrastructure Improvements
Booster Gold,Enhanced Senses,Medical (COVID-19)
Booster Gold,Invulnerability,Medical (COVID-19)
Booster Gold,Force Fields,Large Scale Conflict
Booster Gold,Precognition,Medical (COVID-19)
Booster Gold,Enhanced Hearing,Large Scale Conflict
Booster Gold,Power Suit,Large Scale Conflict
Booster Gold,Time Travel,Medical (COVID-19)
Booster Gold,Time Manipulation,Medical (COVID-19)
Booster Gold,Vision - Infrared,Miscellaneous
Booster Gold,Vision - X-Ray,Medical (COVID-19)
Box IV,Telekinesis,Infrastructure Improvements
Bradley,Electrokinesis,Infrastructure Improvements
Brainiac,Durability,Medical (COVID-19)
Brainiac,Flight,Infrastructure Improvements
Brainiac,Longevity,Medical (COVID-19)
Brainiac,Intelligence,Education Improvements
Brainiac,Super Strength,Infrastructure Improvements
Brainiac,Telepathy,Education Improvements
Brainiac,Super Speed,Medical (COVID-19)
Brainiac,Telekinesis,Infrastructure Improvements
Brainiac,Force Fields,Large Scale Conflict
Brainiac,Self-Sustenance,Medical (COVID-19)
Brainiac,Omnilingualism,Education Improvements
Brainiac 5,Intelligence,Education Improvements
Brainiac 5,Energy Beams,Large Scale Conflict
Brainiac 5,Force Fields,Large Scale Conflict
Brother Voodoo,Magic,Miscellaneous
Brundlefly,Agility,Large Scale Conflict
Brundlefly,Stealth,Miscellaneous
Brundlefly,Super Strength,Infrastructure Improvements
Brundlefly,Stamina,Medical (COVID-19)
Brundlefly,Toxin and Disease Control,Medical (COVID-19)
Brundlefly,Wallcrawling,Infrastructure Improvements
Buffy,Agility,Large Scale Conflict
Buffy,Accelerated Healing,Medical (COVID-19)
Buffy,Durability,Medical (COVID-19)
Buffy,Stealth,Miscellaneous
Buffy,Danger Sense,Large Scale Conflict
Buffy,Super Strength,Infrastructure Improvements
Buffy,Stamina,Medical (COVID-19)
Buffy,Super Speed,Medical (COVID-19)
Buffy,Enhanced Memory,Education Improvements
Buffy,Reflexes,Miscellaneous
Buffy,Psionic Powers,Drug Addiction
Buffy,Vision - Telescopic,Large Scale Conflict
Bullseye,Durability,Medical (COVID-19)
Bullseye,Marksmanship,Large Scale Conflict
Bullseye,Weapons Master,Large Scale Conflict
Bumblebee,Stealth,Miscellaneous
Bumblebee,Flight,Infrastructure Improvements
Bumblebee,Intelligence,Education Improvements
Bumblebee,Super Strength,Infrastructure Improvements
Bumblebee,Energy Blasts,Infrastructure Improvements
Bumblebee,Size Changing,Infrastructure Improvements
Bumblebee,Stamina,Medical (COVID-19)
Bumblebee,Electrokinesis,Infrastructure Improvements
Bumblebee,Enhanced Sight,Miscellaneous
Bumblebee,Power Suit,Large Scale Conflict
Bumbleboy,Flight,Infrastructure Improvements
Bumbleboy,Telepathy,Education Improvements
Bushido,Agility,Large Scale Conflict
Bushido,Weapons Master,Large Scale Conflict
Cable,Agility,Large Scale Conflict
Cable,Accelerated Healing,Medical (COVID-19)
Cable,Durability,Medical (COVID-19)
Cable,Stealth,Miscellaneous
Cable,Flight,Infrastructure Improvements
Cable,Marksmanship,Large Scale Conflict
Cable,Weapons Master,Large Scale Conflict
Cable,Intelligence,Education Improvements
Cable,Super Strength,Infrastructure Improvements
Cable,Telepathy,Education Improvements
Cable,Energy Blasts,Infrastructure Improvements
Cable,Stamina,Medical (COVID-19)
Cable,Dexterity,Drug Addiction
Cable,Super Speed,Medical (COVID-19)
Cable,Teleportation,Medical (COVID-19)
Cable,Telekinesis,Infrastructure Improvements
Cable,Astral Projection,Drug Addiction
Cable,Force Fields,Large Scale Conflict
Cable,Psionic Powers,Drug Addiction
Cable,Technopath/Cyberpath,Infrastructure Improvements
Cable,Precognition,Medical (COVID-19)
Cable,Mind Control,Education Improvements
Cable,Molecular Manipulation,Medical (COVID-19)
Cable,Mind Blast,Education Improvements
Cable,Time Travel,Medical (COVID-19)
Cable,Illusions,Drug Addiction
Cable,Cloaking,Large Scale Conflict
Cable,Telepathy Resistance,Miscellaneous
Cable,Mind Control Resistance,Miscellaneous
Cable,Vision - Thermal,Infrastructure Improvements
Callisto,Agility,Large Scale Conflict
Callisto,Accelerated Healing,Medical (COVID-19)
Callisto,Super Strength,Infrastructure Improvements
Callisto,Enhanced Senses,Medical (COVID-19)
Callisto,Reflexes,Miscellaneous
Callisto,Wallcrawling,Infrastructure Improvements
Callisto,Vision - Night,Large Scale Conflict
Cameron Hicks,Marksmanship,Large Scale Conflict
Cameron Hicks,Hyperkinesis,Drug Addiction
Cameron Hicks,Spatial Awareness,Miscellaneous
